time,voltage
-0.0025182456,332.651
-0.0025180456,336.649
-0.0025178456,335.45
-0.0025176456,333.85
-0.0025174456,333.85
-0.0025172456,332.251
-0.0025170456,334.65
-0.0025168456,333.451
-0.0025166456,336.249
-0.0025164456,331.851
-0.0025162456,334.65
-0.0025160456,337.849
-0.0025158456,331.851
-0.0025156456,335.05
-0.0025154456,333.051
-0.0025152456,336.249
-0.0025150456,334.65
-0.0025148456,334.65
-0.0025146456,334.65
-0.0025144456,335.05
-0.0025142456,334.65
-0.0025140456,333.85
-0.0025138456,334.65
-0.0025136456,334.65
-0.0025134456,334.25
-0.0025132456,336.249
-0.0025130456,334.65
-0.0025128456,336.249
-0.0025126456,333.85
-0.0025124456,338.648
-0.0025122456,333.051
-0.0025120456,337.449
-0.0025118456,333.051
-0.0025116456,335.85
-0.0025114456,337.849
-0.0025112456,336.249
-0.0025110456,335.85
-0.0025108456,336.649
-0.0025106456,336.649
-0.0025104456,335.85
-0.0025102456,334.65
-0.0025100456,334.25
-0.0025098456,338.248
-0.0025096456,337.049
-0.0025094456,334.65
-0.0025092456,338.648
-0.0025090456,336.249
-0.0025088456,335.45
-0.0025086456,337.449
-0.0025084456,338.648
-0.0025082456,334.65
-0.0025080456,336.649
-0.0025078456,339.448
-0.0025076456,336.649
-0.0025074456,335.05
-0.0025072456,336.649
-0.0025070456,337.049
-0.0025068456,337.049
-0.0025066456,337.449
-0.0025064456,334.65
-0.0025062456,337.449
-0.0025060456,339.048
-0.0025058456,335.85
-0.0025056456,336.649
-0.0025054456,334.65
-0.0025052456,338.648
-0.0025050456,334.65
-0.0025048456,339.048
-0.0025046456,336.249
-0.0025044456,337.449
-0.0025042456,333.85
-0.0025040456,336.649
-0.0025038456,339.048
-0.0025036456,336.249
-0.0025034456,335.85
-0.0025032456,337.449
-0.0025030456,336.649
-0.0025028456,338.648
-0.0025026456,337.449
-0.0025024456,337.449
-0.0025022456,338.248
-0.0025020456,337.849
-0.0025018456,337.449
-0.0025016456,340.647
-0.0025014456,337.049
-0.0025012456,337.449
-0.0025010456,337.049
-0.0025008456,335.45
-0.0025006456,339.848
-0.0025004456,335.85
-0.0025002456,337.849
-0.0025000456,337.049
-0.0024998456,336.249
-0.0024996456,332.651
-0.0024994456,338.648
-0.0024992456,338.648
-0.0024990456,334.65
-0.0024988456,335.45
-0.0024986456,336.249
-0.0024984456,335.05
-0.0024982456,339.048
-0.0024980456,337.449
-0.0024978456,335.05
-0.0024976456,336.649
-0.0024974456,338.648
-0.0024972456,337.449
-0.0024970456,335.45
-0.0024968456,336.649
-0.0024966456,335.45
-0.0024964456,339.048
-0.0024962456,338.648
-0.0024960456,338.248
-0.0024958456,335.05
-0.0024956456,336.249
-0.0024954456,334.25
-0.0024952456,334.65
-0.0024950456,336.249
-0.0024948456,335.85
-0.0024946456,337.049
-0.0024944456,336.249
-0.0024942456,335.45
-0.0024940456,336.649
-0.0024938456,337.849
-0.0024936456,335.05
-0.0024934456,338.648
-0.0024932456,337.449
-0.0024930456,335.85
-0.0024928456,334.25
-0.0024926456,337.849
-0.0024924456,339.448
-0.0024922456,336.249
-0.0024920456,336.249
-0.0024918456,334.25
-0.0024916456,337.049
-0.0024914456,338.248
-0.0024912456,333.85
-0.0024910456,336.249
-0.0024908456,338.648
-0.0024906456,333.85
-0.0024904456,339.448
-0.0024902456,335.85
-0.0024900456,337.049
-0.0024898456,337.449
-0.0024896456,339.848
-0.0024894456,337.449
-0.0024892456,337.049
-0.0024890456,335.45
-0.0024888456,338.248
-0.0024886456,336.249
-0.0024884456,340.248
-0.0024882456,339.048
-0.0024880456,337.849
-0.0024878456,341.047
-0.0024876456,337.049
-0.0024874456,339.848
-0.0024872456,338.648
-0.0024870456,337.449
-0.0024868456,338.248
-0.0024866456,338.248
-0.0024864456,337.449
-0.0024862456,336.649
-0.0024860456,334.25
-0.0024858456,336.249
-0.0024856456,339.048
-0.0024854456,339.048
-0.0024852456,337.849
-0.0024850456,338.648
-0.0024848456,338.648
-0.0024846456,338.248
-0.0024844456,339.448
-0.0024842456,338.248
-0.0024840456,337.049
-0.0024838456,339.848
-0.0024836456,339.048
-0.0024834456,339.048
-0.0024832456,337.449
-0.0024830456,337.849
-0.0024828456,338.248
-0.0024826456,340.647
-0.0024824456,340.248
-0.0024822456,338.648
-0.0024820456,341.847
-0.0024818456,338.648
-0.0024816456,339.048
-0.0024814456,338.648
-0.0024812456,338.648
-0.0024810456,337.449
-0.0024808456,337.049
-0.0024806456,340.248
-0.0024804456,340.248
-0.0024802456,342.646
-0.0024800456,340.647
-0.0024798456,341.047
-0.0024796456,341.447
-0.0024794456,338.648
-0.0024792456,338.648
-0.0024790456,340.248
-0.0024788456,338.248
-0.0024786456,341.447
-0.0024784456,342.646
-0.0024782456,335.85
-0.0024780456,340.647
-0.0024778456,342.247
-0.0024776456,339.848
-0.0024774456,339.048
-0.0024772456,340.647
-0.0024770456,339.448
-0.0024768456,338.648
-0.0024766456,340.248
-0.0024764456,341.447
-0.0024762456,342.247
-0.0024760456,340.248
-0.0024758456,342.646
-0.0024756456,341.447
-0.0024754456,339.048
-0.0024752456,341.447
-0.0024750456,341.447
-0.0024748456,343.846
-0.0024746456,341.047
-0.0024744456,341.847
-0.0024742456,341.847
-0.0024740456,341.447
-0.0024738456,342.247
-0.0024736456,341.047
-0.0024734456,340.248
-0.0024732456,339.848
-0.0024730456,337.849
-0.0024728456,341.447
-0.0024726456,341.447
-0.0024724456,341.447
-0.0024722456,343.446
-0.0024720456,341.447
-0.0024718456,341.847
-0.0024716456,345.045
-0.0024714456,341.447
-0.0024712456,343.846
-0.0024710456,340.248
-0.0024708456,343.446
-0.0024706456,342.646
-0.0024704456,342.247
-0.0024702456,343.446
-0.0024700456,343.846
-0.0024698456,339.848
-0.0024696456,341.847
-0.0024694456,341.447
-0.0024692456,343.446
-0.0024690456,345.045
-0.0024688456,342.646
-0.0024686456,343.046
-0.0024684456,341.847
-0.0024682456,343.046
-0.0024680456,342.646
-0.0024678456,342.646
-0.0024676456,341.847
-0.0024674456,343.046
-0.0024672456,343.846
-0.0024670456,345.045
-0.0024668456,343.046
-0.0024666456,341.847
-0.0024664456,343.046
-0.0024662456,343.846
-0.0024660456,343.446
-0.0024658456,343.446
-0.0024656456,345.045
-0.0024654456,343.046
-0.0024652456,340.248
-0.0024650456,344.246
-0.0024648456,344.646
-0.0024646456,344.646
-0.0024644456,343.846
-0.0024642456,343.446
-0.0024640456,341.847
-0.0024638456,342.646
-0.0024636456,343.446
-0.0024634456,342.646
-0.0024632456,343.846
-0.0024630456,342.646
-0.0024628456,345.845
-0.0024626456,343.846
-0.0024624456,342.646
-0.0024622456,344.246
-0.0024620456,341.847
-0.0024618456,344.646
-0.0024616456,342.646
-0.0024614456,343.846
-0.0024612456,343.446
-0.0024610456,343.046
-0.0024608456,342.646
-0.0024606456,343.446
-0.0024604456,343.846
-0.0024602456,345.445
-0.0024600456,346.245
-0.0024598456,344.246
-0.0024596456,343.846
-0.0024594456,344.246
